source_month,source_row,source_block,record_type,date,account,payment_type,ref_no,category,details,currency,direction,amount,out_currency,out_amount,in_currency,in_amount,fx_rate,egp_eqv,usd_eqv,is_petty,issues
JAN,65,main_ledger,transaction,2026-01-19,CASH,CASH,10,Kitchen Supplies,Coffee ,EGP,out,1850.0,,,,,47.33,0.0,39.08725966617367,False,
JAN,66,main_ledger,transaction,2026-01-20,CASH,CASH,11,Other,Aramex,EGP,out,238.0,,,,,47.33,0.0,5.0285231354320725,False,
JAN,67,main_ledger,transaction,2026-01-20,CASH,CASH,12,Robot,Gomroky,EGP,out,2900.0,,,,,47.33,0.0,61.27192055778576,False,
JAN,68,main_ledger,transaction,2026-01-21,CASH,CASH,13,Other,ISO,EGP,out,22800.0,,,,,47.33,0.0,481.7240650750053,False,
JAN,69,main_ledger,transaction,2026-01-26,ARAB_BANK,CHK,,,#0127295,USD,out,10000.0,,,,,,0.0,0.0,False,missing_category
JAN,70,main_ledger,transaction,2026-01-26,CASH,CASH,,,,USD,in,10000.0,,,,,47.33,0.0,0.0,False,missing_category
JAN,71,main_ledger,unclassified,2026-01-26,CASH,USDTOEGP,,,,,,,,,,,,0.0,0.0,False,multiple_amounts_unclassified:EGP_in=46900.0,USD_out=1000.0
JAN,72,main_ledger,transaction,2026-01-26,CASH,CASH,,Other,ISO Consultation (Should be divided into multiple chunks with kitchen supplies),EGP,out,9000.0,,,,,47.33,0.0,190.15423621381788,False,
JAN,73,main_ledger,transaction,2026-01-26,CASH,CASH,14,Robot,ROBOT,EGP,out,23950.0,,,,,47.33,0.0,506.02155081343756,False,
JAN,74,main_ledger,transaction,2026-01-28,NBK,BANK-FEES,,Bank Fees,,EGP,out,120.0,,,,,47.0,,2.5531914893617023,False,
JAN,74,main_ledger,transaction,2026-01-28,NBK,BANK-FEES,,Bank Fees,,USD,out,2.56,,,,,47.0,,2.5531914893617023,False,
JAN,75,main_ledger,transaction,2026-01-29,CASH,,15,Salaries,,USD,out,7925.0,,,,,47.0,372475.0,0.0,False,missing_category
JAN,76,main_ledger,unclassified,,,,16,,transportation 980,,,,,,,,47.33,0.0,0.0,False,missing_date;missing_account;no_amount
JAN,107,petty_transportation,transaction,2026-01-07,CASH,CASH,,Transportation,,EGP,out,200.0,,,,,,0.0,0.0,True,
JAN,108,petty_transportation,transaction,2026-01-08,CASH,CASH,,Transportation,,EGP,out,115.0,,,,,,0.0,0.0,True,
JAN,109,petty_transportation,transaction,2026-01-12,CASH,CASH,,Transportation,,EGP,out,95.0,,,,,,0.0,0.0,True,
JAN,110,petty_transportation,transaction,2026-01-14,CASH,CASH,,Transportation,,EGP,out,60.0,,,,,,0.0,0.0,True,
JAN,111,petty_transportation,transaction,2026-01-15,CASH,CASH,,Transportation,,EGP,out,100.0,,,,,,0.0,0.0,True,
JAN,112,petty_transportation,transaction,2026-01-20,CASH,CASH,,Transportation,,EGP,out,100.0,,,,,,0.0,0.0,True,
JAN,113,petty_transportation,transaction,2026-01-26,CASH,CASH,,Transportation,,EGP,out,100.0,,,,,,0.0,0.0,True,
JAN,114,petty_transportation,transaction,2026-01-28,CASH,CASH,,Transportation,,EGP,out,210.0,,,,,,0.0,0.0,True,
JAN,115,petty_transportation,unclassified,,,,,Transportation,,,,,,,,,,0.0,0.0,True,missing_date;missing_account;no_amount
